Symbol,Date,Open,High,Low,Close,Volume,Yesterday Volume,Tomorrows Percent Change
AAPL,11/11/16,107.12,108.87,106.55,108.43,34143898,57134541,-2.508530849
AAPL,11/14/16,107.71,107.81,104.08,105.71,51175504,34143898,1.324378015
AAPL,11/15/16,106.57,107.68,106.16,107.11,32264510,51175504,2.688824573
AAPL,11/16/16,106.7,110.23,106.6,109.99,58840522,32264510,-0.036366942
AAPL,11/17/16,109.81,110.35,108.83,109.95,26964598,58840522,0.100045475
AAPL,11/18/16,109.72,110.54,109.66,110.06,28428917,26964598,1.51735417
AAPL,11/21/16,110.12,111.99,110.01,111.73,29264571,28428917,0.062651034
AAPL,11/22/16,111.95,112.42,111.4,111.8,25965534,29264571,-0.509838998
AAPL,11/23/16,111.36,111.51,110.33,111.23,27426394,25965534,0.503461296
AAPL,11/25/16,111.47,111.87,110.95,111.79,11475922,27426394,-0.196797567
AAPL,11/28/16,111.43,112.46,111.39,111.57,27193983,11475922,-0.098592812
AAPL,11/29/16,110.78,112.03,110.07,111.46,28528750,27193983,-0.843351875
AAPL,11/30/16,111.6,112.2,110.27,110.52,36162258,28528750,-0.931958017
AAPL,12/1/16,110.36,110.94,109.03,109.49,37086862,36162258,0.374463421
AAPL,12/2/16,109.17,110.09,108.85,109.9,26527997,37086862,-0.718835305
AAPL,12/5/16,110,110.03,108.25,109.11,34324540,26527997,0.769865274
AAPL,12/6/16,109.5,110.36,109.19,109.95,26195462,34324540,0.982264666
AAPL,12/7/16,109.26,111.19,109.16,111.03,29998719,26195462,0.981716653
AAPL,12/8/16,110.86,112.43,110.6,112.12,27068316,29998719,1.632179807
AAPL,12/9/16,112.31,114.7,112.31,113.95,34402627,27068316,-0.570425625
AAPL,12/12/16,113.29,115,112.49,113.3,26374377,34402627,1.668137688
AAPL,12/13/16,113.84,115.92,113.75,115.19,43733811,26374377,0
AAPL,12/14/16,115.04,116.2,114.98,115.19,34031834,43733811,0.546922476
